feature,importance
Lead_time,0.30823548531991285
Shipping_times,0.16205584740010914
Defect_rates,0.13120206826526343
Availability,0.048865912160283
Production_volumes,0.04833492767263095
Price,0.04101075350803617
Manufacturing_lead_time,0.03613943340661092
Manufacturing_costs,0.033374469981791076
Costs,0.030880582664880137
Stock_levels,0.02970009116353462
Shipping_costs,0.02802651566355266
Revenue_generated,0.027346561357636138
Lead_times,0.02374156758980147
Number_of_products_sold,0.014005049048869176
Location,0.013949250587539154
Inspection_results,0.009529909458786838
Transportation_modes,0.00741099867111807
Shipping_carriers,0.006190576079644105
